author,published_at,like_count,text
@Adrish-b8l,2026-09-06T10:28:44Z,0,Overall production value of this movie is impressive
@Jeri-j5g,2026-09-06T10:28:13Z,0,Bhasiyude voice and style vere level aanu
@Sachin-y5m4x,2026-09-06T10:27:36Z,0,Sreenath Bhasi acting always brings pure energy
@Sunil-o4w4v,2026-09-06T10:26:59Z,0,ഈ പടത്തിലൂടെ ശ്രീനാഥ് ഭാസി മാസ് തിരിച്ചു വരവ് നടത്തും
@Sandhya-b3t9m,2026-09-06T10:26:15Z,0,എല്ലാ അണിയറപ്രവർത്തകർക്കും എൻ്റെ ഹൃദയം നിറഞ്ഞ ആശംസകൾ
@Mithali-e5i,2026-09-06T10:25:44Z,0,Bhasiyude aah paattinayi kaathirikkunnu
@Mridula-t6v,2026-09-06T10:23:57Z,0,Sreenath Bhasi screen presence is unmatched here
@Suda-i1r,2026-09-06T10:23:10Z,0,ശ്രീനാഥ് ഭാസിയുടെ ഈ ഒരു ലുക്ക് എന്തായാലും കിടിലൻ ആയിട്ടുണ്ട്
@CinemaC4-pd5df,2026-09-06T08:30:24Z,0,kollaallo teaser... Nammudeyokke veettil nadakkunnapole.. maala parvathi typical amma.. Nalloru actor aanu sreenathbhasi.. pulliye screen il kaanan ellavarkkum ishtamanu.. boy next door... Padam pratheekshayund.. nallathayirikkumennu pratheekshikkunnu..
@sugandadas6564,2026-09-06T07:44:44Z,0,ടീസർ കണ്ടപ്പോൾ തന്നെ നല്ലൊരു കൗതുകം തോന്നി 🔥 സിനിമ എന്നാണ് ഇറങ്ങുന്നത്?
@sarathchandran8931,2026-09-06T07:36:54Z,0,ഭാസിയുടെ screen presence തന്നെ വേറെ level 🔥 ഈ സിനിമയ്ക്കായി കാത്തിരിക്കുന്നു
@mayasuresh4071,2026-09-06T07:36:26Z,0,ശ്രീനാഥ് ഭാസിയുടെ performance കാണാൻ excited ആണ് 🔥
@dileepm3894,2026-09-06T07:35:57Z,0,Bhasi fans waiting ❤️
@sharusharanya8984,2026-09-06T07:35:28Z,0,Cinema eppo release aavum? 😍🎬
@vrindajeevan9811,2026-09-06T07:33:49Z,0,സിനിമയുടെ റിലീസ് date ഉടൻ announce ചെയ്യണേ ❤️
@ansymerry236,2026-09-06T07:33:21Z,0,Credit Score ന് നല്ലൊരു theatrical experience പ്രതീക്ഷിക്കുന്നു… All the best team🎬🔥
@dayyanadaya4,2026-09-06T07:31:25Z,0,Bhasi യുടെ presence തന്നെ teaserന്റെ highlight ആയി തോന്നി 🔥
@ishanabdhulvahab32,2026-09-06T07:30:34Z,0,ശ്രീനാഥ് ഭാസിയെ ഈ കഥാപാത്രത്തിൽ കാണാൻ really excited ആണ്.
@jackyjack9746,2026-09-06T07:30:08Z,0,Bhasi + interesting storyline = waiting 🔥
@vinujohn7950,2026-09-06T07:29:41Z,0,നല്ലൊരു കഥയും നല്ല cast ഉം… സിനിമയ്ക്കായി കാത്തിരിക്കുന്നു.
@omarkhayam1127,2026-09-06T07:29:11Z,0,ശ്രീനാഥ് ഭാസിയുടെ expressions ❤️🔥
