author,published_at,like_count,text
@gokulnathn9409,2026-09-04T03:51:31Z,0,"കൃഷി അഭിവൃദ്ധിപ്പെടുന്നു, ഭരണനിർവ്വഹണം മെച്ചപ്പെടുന്നു, ലോകമെമ്പാടുമുള്ള ജനങ്ങളുടെ മുഖത്ത് പുഞ്ചിരി വിരിയുന്നു. സകല ജീവജാലങ്ങളും എല്ലാവിധ അനുഗ്രഹങ്ങളും ആസ്വദിച്ച് സന്തോഷത്തോടെ ജീവിക്കുന്നു. ലോകം നിലനിൽക്കട്ടെ; സമൃദ്ധിയോടെ നിലനിൽക്കട്ടെ. നല്ല കാര്യങ്ങൾ സംഭവിക്കുന്നു; നല്ല കാര്യങ്ങൾ സംഭവിക്കട്ടെ. നല്ല കാര്യങ്ങൾ സംഭവിക്കും."
@aneeshkumar2103,2026-09-04T03:29:13Z,0,ഇത് ചിലപ്പോൾ കത്തും
@prasanthm8122,2026-09-04T01:38:36Z,0,700
@johnfp1061,2026-09-03T19:28:50Z,1,Ithu entha kannu adichu pokuna reethiyil ula colour grading? Looks like some 2010-2015 time il eranghiya padam!
@SarveshPradeep0172-2,2026-09-03T18:14:23Z,0,Colour Grading കണ്ട് പടം കാണാനുള്ള mood പോയി🥀🥴 ejjaaathi padam
@Truthfinder0007,2026-09-03T17:52:20Z,2,BKU ശേഷം അടുത്ത 299 കോടി പടം....🎉🎉🎉
@ammucs9802,2026-09-03T17:28:50Z,0,Waitting 😍
@kidzcapita,2026-09-03T17:16:23Z,1,ഒരു നല്ല പേര് പോലും ഇടാൻ വയ്യെ
@ebin_c_babu,2026-09-03T17:08:01Z,0,short film ano
@Lolipop_comedy,2026-09-03T17:00:50Z,0,Pan indian gund 😂
@Vishnudevan,2026-09-03T16:41:47Z,1,ഇത് ഇനി എന്ത് ആവുമോ എന്തോ അശ്വന്ത് കോക്ക് വലിച്ച് കീറുമോ ആവോ
@NaseemaSharaf-h3z,2026-09-03T16:35:30Z,0,All the best ❤
@shadowslayer2248,2026-09-03T16:24:38Z,0,"Oru valiya gund pottan ready aayi nilkunund, kathirunnu kanam"
@sagars1977,2026-09-03T16:14:51Z,0,All the best......🎉❤
@vysali_1,2026-09-03T15:59:28Z,0,😍😍😍🔥🔥
@muhsinmansoor,2026-09-03T15:55:19Z,0,Oh baaaasi 😢😢😢
@silverfang4510,2026-09-03T15:52:17Z,0,Gund
@PolicyPartners,2026-09-03T15:47:34Z,0,Nice
@jagadheeshprasadmovies8100,2026-09-03T15:47:06Z,0,❤❤❤❤❤❤❤
@AdarshSuresh-l4n,2026-09-03T15:47:03Z,0,"കപ്പേല, ഹോം ഈ സിനിമകൾ വഴി നല്ലരീതിയിൽ stardom ഡെവലപ്പ് ആയ ആക്ടർ ആണ് പിന്നീട് എല്ലാം ഒറ്റ അടിക്കുനശിച്ചു"
@arunvijay6454,2026-09-03T15:38:13Z,1,ആ പ്രൊഡ്യൂസർ തലക്കി പ്രാന്ത്‌ പിടിച്ചു കാണും 😂😂ഇവൻ കാരണം 😂.
@shivms5439,2026-09-03T15:36:23Z,0,"Very interesting, waiting to watch the movie."
@TeamKunjippuzhubyNikhilLena,2026-09-03T15:36:04Z,7,0:47 ഉള്ള ചേട്ടൻ കിടു ആണ്..! ❤️🫣😬
@AFMUSIC-h4,2026-09-03T15:32:38Z,0,NICE AL THE BEST
@anuchristopher4688,2026-09-03T15:28:25Z,0,❤❤❤🎉🎉🎉
@anilanil2420,2026-09-03T15:26:02Z,6,"പടം   പൊട്ടുകയോ...
വിജയിക്കുകയോ.... എന്തേലും... ആവട്ടെ..
ഈ.... സ്കോർ.. എങ്ങനെ  മാനേജ്... ചെയ്യാം... ന്ന് . അറിഞ്ഞാ  മതി. 👍"
@maanasr298,2026-09-03T15:11:27Z,2,Chandni ye kand pazhaya Mrithika orma vanna aarelum undo🔥😅
@talkoftheday9879,2026-09-03T15:05:55Z,0,Nice one
@lukesamkuruvila,2026-09-03T14:59:57Z,0,പൻഇന്ത്യൻ സിനിമയാക്കാൻ ആണോ എല്ലാ ഭാഷയിലും ഇറക്കുന്നത് 😮
@crazy1050,2026-09-03T14:56:49Z,0,Credit Score sreenath bhasi blockbuster movie 🍿❤🎉🎉🎉🎉🎉🎉💓💓💓💓💓😎😎😎😎😎😎😎😇😇😇😇😇😘😘😘😘😘😘😘🫡🫡🫡🫡🫡🫡🫡👋👋👋👋👍👋👋👋👋👋👋👋👍👍👍
@crazy1050,2026-09-03T14:56:45Z,1,Credit Score sreenath bhasi blockbuster movie 🍿❤🎉🎉🎉🎉🎉🎉💓💓💓💓💓😎😎😎😎😎😎😎😇😇😇😇😇😘😘😘😘😘😘😘🫡🫡🫡🫡🫡🫡🫡👋👋👋👋👍👋👋👋👋👋👋👋👍👍👍
@scamer-l2z,2026-09-03T14:50:35Z,9,One of the best movie i watched on last 10 years
@aesdoc,2026-09-03T14:48:54Z,26,PETTIKADA LUCKY BASKHAR
@rajinik3829,2026-09-03T14:17:56Z,28,Ethu 2012il iragiyal hit adichene
@mujeebrehman422,2026-09-03T14:08:19Z,1,❤❤❤
@cenimaetech9301,2026-09-03T14:06:48Z,1,ഞാൻ EMI ആണ്
@abdulshuhaib2751,2026-09-03T14:06:48Z,78,ധ്യാൻ പോലെ മലയാള സിനിമയെക് ബോംബ് ഇടാൻ ശ്രീനാഥ് ഭാസിയും🫣😊
@mangotech2165,2026-09-03T14:01:56Z,3,Promising 👌
@avjfamily1109,2026-09-03T13:58:28Z,4,Such a unique and relatable concept! Bringing an everyday financial reality to the big screen is truly commendable. Wishing the entire team huge success! ❤️👏
@ravimba1732,2026-09-03T13:52:42Z,5,All the best for shashidhar and team from Karnataka
@USA6rz,2026-09-03T13:52:08Z,2,❤❤❤
@SJstoriesyoutube,2026-09-03T13:44:08Z,2,Nokhilettan lena chechii pramodettan 🫂🫂
@nipunjoseph4616,2026-09-03T13:41:14Z,1,Credit score und. Cash ila. Main thing * pennu ila
@JaseelCk-vj6ru,2026-09-03T13:32:28Z,2,All the best
@zoro-h9z7b,2026-09-03T13:31:51Z,15,Next bomb loading 😂
@madhumalleshappa2706,2026-09-03T13:28:04Z,1,Very nice all the best ❤
@musingsofmadras,2026-09-03T12:55:40Z,82,Ithennaa 2012 oh?
@sevenstar_Avs,2026-09-03T12:55:13Z,32,Baside എല്ലാ പടങ്ങളും ഒരേ യൂണിവേഴ്സ് ആണ്
@AjmalAfsal-u9k,2026-09-03T11:58:10Z,25,adutha bomb 💣
@UmeshThimmegowda-x6m,2026-09-03T11:49:44Z,2,"The teaser looks very interesting and impressive. It seems like the story beautifully explores a situation that is relevant to the present-day lives of many individuals. The concept looks intriguing, and I’m really looking forward to watching the film.

Wishing the entire team all the very best and great success! 🎬✨"
